time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-10-01 19:00,73,80,52,0,300,200,150,100,50
2023-10-01 20:00,85,94,56,0,300,200,150,100,50
2023-10-01 21:00,79,71,51,0,300,200,150,100,50
2023-10-01 22:00,77,49,42,0,300,200,150,100,50
2023-10-01 23:00,75,29,39,0,300,200,150,100,50
2023-10-02 00:00,78,20,35,0,300,200,150,100,50
2023-10-02 01:00,78,18,33,0,300,200,150,100,50
2023-10-02 02:00,80,18,31,0,300,200,150,100,50
2023-10-02 03:00,78,19,31,0,300,200,150,100,50
2023-10-02 04:00,74,16,30,0,300,200,150,100,50
2023-10-02 05:00,72,11,25,0,300,200,150,100,50
2023-10-02 06:00,78,12,19,0,300,200,150,100,50
2023-10-02 07:00,78,30,21,0,300,200,150,100,50
2023-10-02 08:00,77,26,23,0,300,200,150,100,50
2023-10-02 09:00,78,24,23,0,300,200,150,100,50
2023-10-02 10:00,80,23,42,0,300,200,150,100,50
2023-10-02 11:00,80,27,27,0,300,200,150,100,50
2023-10-02 12:00,91,44,24,0,300,200,150,100,50
2023-10-02 13:00,95,47,28,0,300,200,150,100,50
2023-10-02 14:00,96,45,31,0,300,200,150,100,50
2023-10-02 15:00,92,32,30,0,300,200,150,100,50
2023-10-02 16:00,84,28,31,0,300,200,150,100,50
2023-10-02 17:00,80,32,31,0,300,200,150,100,50
2023-10-02 18:00,85,49,35,0,300,200,150,100,50
2023-10-02 19:00,80,64,39,0,300,200,150,100,50
2023-10-02 20:00,80,61,42,0,300,200,150,100,50
2023-10-02 21:00,77,42,35,0,300,200,150,100,50
2023-10-02 22:00,76,25,30,0,300,200,150,100,50
2023-10-02 23:00,74,22,32,0,300,200,150,100,50
2023-10-03 00:00,81,25,33,0,300,200,150,100,50
2023-10-03 01:00,98,25,35,0,300,200,150,100,50
2023-10-03 02:00,96,26,37,0,300,200,150,100,50
2023-10-03 03:00,96,28,37,0,300,200,150,100,50
2023-10-03 04:00,99,25,40,0,300,200,150,100,50
2023-10-03 05:00,98,27,40,0,300,200,150,100,50
2023-10-03 06:00,96,28,34,0,300,200,150,100,50
2023-10-03 07:00,101,36,29,0,300,200,150,100,50
2023-10-03 08:00,91,34,27,0,300,200,150,100,50
2023-10-03 09:00,90,45,30,0,300,200,150,100,50
2023-10-03 10:00,89,42,45,0,300,200,150,100,50
2023-10-03 11:00,110,53,46,0,300,200,150,100,50
2023-10-03 12:00,122,70,40,0,300,200,150,100,50
2023-10-03 13:00,121,73,48,0,300,200,150,100,50
2023-10-03 14:00,112,61,53,0,300,200,150,100,50
2023-10-03 15:00,107,47,52,0,300,200,150,100,50
2023-10-03 16:00,110,41,47,0,300,200,150,100,50
2023-10-03 17:00,106,47,48,0,300,200,150,100,50
2023-10-03 18:00,106,55,51,0,300,200,150,100,50
2023-10-03 19:00,108,79,55,0,300,200,150,100,50
2023-10-03 20:00,120,79,55,0,300,200,150,100,50
2023-10-03 21:00,135,63,54,0,300,200,150,100,50
2023-10-03 22:00,140,53,55,0,300,200,150,100,50
